,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
1372,Scale (geometry),chart,Chart,chart,instance of,Place the scale in contact with the object along its length as shown in Fig
1373,Break (music),musical instrument part,Scale (music),musical term,part of,In some scales the ends may be broken
1374,0,even number,Grapheme,character,instance of,Y ou may not be able to see the zero mark clearly Fig
1375,0,even number,Scale (measurement),dimensionless quantity,part of,In such cases you should avoidtaking measurements from the zero mark of the scale
1376,Reading,transliteration,Transliteration,conversion of scripts,opposite of,Then you must subtract the reading of this mark from the reading at the other end
1377,1,natural number,Natural number,integer sequence,instance of,8 b the reading at one end is 1
1379,3,natural number,8,natural number,opposite of,8 a Incorrect and b correct method of placing the scale with broken edge a a b 3
1380,Portant (measurement),physical quantity,Measurement,estimation process,subclass of,Correct position of the eye is also im portant for taking measurement
1381,Eye chart,eye chart,Eye,anatomical structure,depicts,Your eye must be exactly in fr ont of the point where the measurement is to be taken as shown in Fig
1382,Position B,None,Eye,anatomical structure,facet of,Position B is the correct position of the eye
1383,Lieutenant,position,Playing card,game equipment,instance of,Note that from position B the reading is 7
1384,A,natural number,C,natural number,followed by,From po sitions A and C the readings may be different
1385,Back against a wall,None,Stand with your back against a wall,None,said to be the same as,For this ask your classmate to stand with his back against a wall
1387,Metre,unit of length,Distance,physical quantity,measured physical quantity,Now measure the distance from the floor to this mark on the wall with your handspan and then with a metre scale
1388,SI standard scale,measurement scale,Measurement scale,tool,instance of,at the results in column 3 where the measurements are done using a standard scale
1389,Hand span,scale,Scale (music),musical term,subclass of,The results may be close to each other now but are they exactly equal If not why do you think there is a difference After all everybody is using the same scale and not different hand spans
1390,Error detection and correction,computational problem,Observation,estimation process,facet of,This could be due to small errors in taking observations
1391,Measurement error,error,Measurement,estimation process,facet of,In higher classes we will learn about the importance of knowing and handling such errors in measurement
1392,Th ead,unit of length,Length,physical quantity,measured physical quantity,W e can use a thr ead to measur e the length of a curved line
1393,Line curve,curve,Curve,shape,instance of,Activity 4 Use a thread to measure the length of the curved line AB Fig
1394,Knot,embedding,Yarn,textile,part of,Put a knot on the thread near one of its ends
1395,Finger,digit,Thumb,finger,followed by,Now place a small portion of the thread along the line keeping it taut using your fingers and thumb
1396,End point,None,Thread (machine),machine element,part of,Hold the thread at this end point with one hand
1397,9 B,natural number,Scale (music),musical term,instance of,9 B is the proper position of the eye for taking reading of the scale Fig
1398,Table 10,table,Table (mathematics),model,instance of,10 Measuring the length of a curved line with a thread A B C ABTable 10
1399,Measurement of height,physical examination,Physical examination,medical procedure,subclass of,3 Measurement of height d e r u s a e m o h W t h g i e h e h tn i t h g i e H s n a p s d n a hn i t h g i e H m c Study carefully results obtained by different students
1401,SCIENCE,scientific journal,Elsevier,publisher,publisher,Look 2022 23 102 SCIENCE on repeating this process till the other end B of the curved line is reached
1402,End (textiles),textile,Textile,product,part of,Make a mark on the thread where it touches the end B
1403,Metre,unit of length,Scale (unit),unit of length,measured physical quantity,Now stretch the thread along a metre scale
1404,Mark (knot),knot,Knot,linkage,part of,Measure the length between the knot in the beginning and the final mark on the thread
1405,AB (Paris Mﾃδεつｩtro),rapid transit railway line,Curved railway line,railway line,instance of,This gives the length of the curved line AB
1406,Unit of measurement,measure,Measurement,estimation process,subclass of,And we need some standard units and devices with which we measure these distances and can convey our results to others
1407,7 M OVING THINGS AROUND US Activity 5,None,Human activity,activity,facet of,7 M OVING THINGS AROUND US Activity 5 Think of some objects you have seen recently
1409,Rest (physiology),physiological condition,Motion,change,opposite of,Which of these are moving Which are at rest How did you decide whether an object is in motion or at rest You might have noticed that the bir d is not at the same place after some time while the table is at the same place
1410,Rest (geology),physiological condition,Motion,change,opposite of,On this basis you may have decided whether an object is at rest or in motion
1412,Activity 6,None,Ant,taxon,facet of,Activity 6 Select a place where you find ants
1413,Paper,intermediate product,Sugar,food,made from material,Spread a large sheet of white paper on the ground and keep a little sugar on it
1414,Pencil,painting material,Paper,intermediate product,subclass of,For any one ant try and make a small mark with a pencil near its position when it has just crawled on to the sheet of paper Fig
1415,Mark marking its position,character,Paper,intermediate product,part of,Keep marking its position after a few seconds as it moves along on the sheet of paper
1416,Arrow,projectile weapon,Direction,geographic direction,depicts,Connect the different points you have marked with arrows to show the direction in which the ant was Fig
1417,Motion of an ant,None,Ant,taxon,facet of,11 Motion of an antTable10
1418,Motion,motion,Rest,biological process,opposite of,4 Objects at rest and in motion t s e r t a s t c e j b O n o i t o m n i s t c e j b O e s u o H d r i b g n i y l f A e l b a Te h t f o d n a h s d n o c e S k c o l c k c o l C 2022 23 103 MOTION AND MEASUREMENT OF DISTANCES Fig
1419,Rectilinear motion,motion,Motion,change,instance of,12 Some examples of rectilinear motion moving
1420,Marked ant,ant,Ant,taxon,subclass of,Each point you have marked shows where the ant moved to in intervals of a few seconds
1421,Time,series,Motion,change,part of,Motion seems to be some kind of a change in the position of an object with time isn t it In Activity 5 where did you place objects like a clock a sewing machine or an electric fan in your grouping of objects Are these objects moving from one place to other No Do you notice movement in any of their parts The blades of the fan or the hands of a clockﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ how are they moving Is their movement similar to that of an ant or a train Let us now look at some types of motion to help us understand these diffe
1422,March past,military operation,Parade,event,part of,8 T YPES OF MOTION You may have observed the motion of a vehicle on a straight road march past of soldiers in a parade or the falling of a stone Fig
1423,100 metres,sports discipline,Sprint (running),sports discipline,subclass of,What kind of motion is this Sprinters in a 100 metre race also move along a straight track
1424,Blade,machine element,Electric fan,engine model,part of,Can you think of more such examples from your surroundings a b The motion of a point marked on the blade of an electric fan or the hands of a clock are examples of circular motion Fig
